movie,release_date,production_budget,domestic_gross,worldwide_gross
starship troopers,1997-11-07,100000000,54768952,121100000
land of the lost,2009-06-05,100000000,49438370,69548641
peter pan,2003-12-25,100000000,48417850,95255485
wonder park,2019-03-15,100000000,45216793,115149422
catwoman,2004-07-23,100000000,40202379,82145379
the expendables 3,2014-08-15,100000000,39322544,209461378
treasure planet,2002-11-27,100000000,38120554,91800000
green zone,2010-03-12,100000000,35497337,97523020
geostorm,2017-10-20,100000000,33700160,220796009
point break,2015-12-25,100000000,28782481,126704591
in the heart of the sea,2015-12-11,100000000,25020758,89693309
transcendence,2014-04-18,100000000,23022309,103039258
son of the mask,2005-02-18,100000000,17018422,59918422
mortal engines,2018-12-14,100000000,15951040,85287417
the adventures of pluto nash,2002-08-16,100000000,4411102,7094995
jin lã­ng shã­ san chai,2012-01-20,100000000,311434,98227017
the peanuts movie,2015-11-06,99000000,130178411,250091610
the lego movie 2: the second part,2019-02-08,99000000,105806508,190325698
robin hood,2018-11-21,99000000,30824628,84747441
the mummy returns,2001-05-04,98000000,202007640,435040395
gangs of new york,2002-12-20,97000000,77730500,183124621
alien: covenant,2017-05-19,97000000,74262031,238521247
cinderella,2015-03-13,95000000,201151353,534551353
ice age: continental drift,2012-07-13,95000000,161321843,879765137
black hawk down,2001-12-28,95000000,108638745,159691085
sex and the city 2,2010-05-27,95000000,95347692,294680778
percy jackson & the olympians: the lightning thief,2010-02-12,95000000,88768303,223050874
the campaign,2012-08-10,95000000,86907746,104907746
unstoppable,2010-11-12,95000000,81562942,165720921
the fifth element,1997-05-09,95000000,63570862,263898761
the road to el dorado,2000-03-31,95000000,50802661,65700000
the lovely bones,2009-12-11,95000000,44114232,94894448
ben-hur,2016-08-19,95000000,26410477,91669648
seventh son,2015-02-06,95000000,17725785,108874967
finding nemo,2003-05-30,94000000,380529370,936429370
the lord of the rings: the return of the king,2003-12-17,94000000,377845905,1141403341
the lord of the rings: the two towers,2002-12-18,94000000,342548984,934699645
lara croft: tomb raider,2001-06-15,94000000,131144183,273330185
kingsman: the secret service,2015-02-13,94000000,128261724,404561724
jurassic park iii,2001-07-18,93000000,181166115,365900000
rise of the planet of the apes,2011-08-05,93000000,176760185,470986200
the spiderwick chronicles,2008-02-14,92500000,71195053,162839667
the incredibles,2004-11-05,92000000,261441092,614726752
a good day to die hard,2013-02-14,92000000,67349198,304249198
the alamo,2004-04-09,92000000,22406362,23911362
cutthroat island,1995-12-22,92000000,10017322,18517322
the secret life of walter mitty,2013-12-25,91000000,58236838,187861183
jumanji: welcome to the jungle,2017-12-20,90000000,404508916,964496193
men in black,1997-07-01,90000000,250690539,587790539
toy story 2,1999-11-19,90000000,245852179,511358276
rush hour 2,2001-08-03,90000000,226164286,347425832
sherlock holmes,2009-12-25,90000000,209028679,498438212
ice age: dawn of the dinosaurs,2009-07-01,90000000,196573705,859701857
spider-man: into the spider-verse 3d,2018-12-14,90000000,190173195,375381768
what lies beneath,2000-07-21,90000000,155464351,288693989
rio,2011-04-15,90000000,143619809,487519809
the departed,2006-10-06,90000000,132384315,289660619
charlie's angels,2000-11-03,90000000,125305545,259736090
mulan,1998-06-19,90000000,120620254,303500000
tropic thunder,2008-08-13,90000000,110515313,191145256
the girl with the dragon tattoo,2011-12-20,90000000,102515793,239373970
contact,1997-07-11,90000000,100920329,165900000
you don't mess with the zohan,2008-06-06,90000000,100018837,202910991
die hard: with a vengeance,1995-05-19,90000000,100012499,366101666
the magnificent seven,2016-09-23,90000000,93432655,162525156
alvin and the chipmunks: the road chip,2015-12-18,90000000,85886987,249517956
atlantis: the lost empire,2001-06-08,90000000,84052762,186049020
valkyrie,2008-12-25,90000000,83107829,203932174
pixels,2015-07-24,90000000,78765986,244041804
artificial intelligence: ai,2001-06-29,90000000,78616689,235900000
the haunted mansion,2003-11-26,90000000,75817994,155750628
hollow man,2000-08-04,90000000,73209340,191200000
the interpreter,2005-04-22,90000000,72708161,162753837
percy jackson: sea of monsters,2013-08-07,90000000,68559554,200859554
lara croft: tomb raider: the cradle of life,2003-07-25,90000000,65653758,157092943
now you see me 2,2016-06-10,90000000,65075540,328325007
spy game,2001-11-21,90000000,62362560,143049560
the saint,1997-04-04,90000000,61363304,169400000
mission to mars,2000-03-10,90000000,60874615,106000000
tomb raider,2018-03-16,90000000,58250803,273477501
bicentennial man,1999-12-17,90000000,58220776,87420776
king arthur,2004-07-07,90000000,51877963,203877963
volcano,1997-04-25,90000000,47546796,120100000
the devil's own,1997-03-26,90000000,42885593,140900000
k-19: the widowmaker,2002-07-19,90000000,35168966,65716126
conan the barbarian,2011-08-19,90000000,21295021,63356133
the three musketeers,2011-10-21,90000000,20377913,139877913
the promise,2017-04-21,90000000,8224288,10551417
the nutcracker in 3d,2010-11-24,90000000,195459,20466016
bright,2017-12-13,90000000,0,0
army of the dead,2019-12-31,90000000,0,0
twister,1996-05-10,88000000,241688385,495700000
cinderella man,2005-06-03,88000000,61649911,105021488
the predator,2018-09-14,88000000,51024708,159487563
fantastic four,2005-07-08,87500000,154696080,333132750
hannibal,2001-02-09,87000000,165092266,350100280
seabiscuit,2003-07-25,86000000,120277854,148715342
cast away,2000-12-22,85000000,233632142,427230516
happy feet,2006-11-17,85000000,198000317,385000317
ocean's eleven,2001-12-07,85000000,183417150,450728529
the bourne supremacy,2004-07-23,85000000,176087450,311001124
air force one,1997-07-25,85000000,172956409,315268353
fast & furious,2009-04-03,85000000,155064265,363064265
horton hears a who,2008-03-14,85000000,154529439,299477886
divergent,2014-03-21,85000000,150947895,276014965
hotel transylvania,2012-09-28,85000000,148313048,378505812
shazam!,2019-04-05,85000000,139606856,362899733
enchanted,2007-11-21,85000000,127706877,340384141
safe house,2012-02-10,85000000,126181630,208542162
i now pronounce you chuck and larry,2007-07-20,85000000,119725280,185708462
ocean's thirteen,2007-06-08,85000000,117144465,311744465
